category,item,required,selected,qty,unit_cost,buy_link,notes
Drone Kit & Core Electronics,500 V2 Frame Kit,Yes,Yes,1,724,https://hab.se/modeller-delar/holybro-s500-v2-frame-kit,Sweden source (HAB)
Drone Kit & Core Electronics,Pixhawk 6C Flight Controller,Yes,Yes,1,2260,https://www.elefun.se/vara-70412/fpv-dronare-flight-controller-holybro-pixhawk-6c-plastic-case?show=monitor,Plastic-case variant from Sweden source
Drone Kit & Core Electronics,PM02 V3 12S Power Module,Yes,Yes,1,353,https://hab.se/elektronik-batterier/holybro-pm02-v3-power-module-12s,Sweden source (HAB)
Drone Kit & Core Electronics,M10 GPS Module,Yes,Yes,1,659,https://hab.se/elektronik-batterier/holybro-m10-gps-secondary-gps,Sweden source (HAB)
Drone Kit & Core Electronics,SiK Telemetry Radio V3,Yes,Yes,1,1158,https://hab.se/elektronik-batterier/holybro-sik-telemetry-radio-v3-100mw-433mhz,100mW 433MHz kit from Sweden source
Drone Kit & Core Electronics,Holybro 2216 KV920 Motor (4 pcs),Yes,Yes,1,1380,https://hab.se/modeller-delar/multirotor/holybro/reservdelar/,Set price as 4 x 345 SEK (2x CW + 2x CCW)
Drone Kit & Core Electronics,BLHeli S ESC 20A (4 pcs),Yes,Yes,1,964,https://hab.se/modeller-delar/multirotor/holybro/reservdelar/,Set price as 4 x 241 SEK
Drone Kit & Core Electronics,1045 Propellers (4 pcs),Yes,Yes,1,239,https://hab.se/modeller-delar/holybro-x500s500-v2-propeller1045-2pair,2-pair pack (4 propellers)
Power & Charging,LiPo 4S 5000mAh 14.8V (XT60),Yes,Yes,1,1070,https://www.autopartner.se/sv/batterier/li-po-batteri-4s-148v-7500mah-100c-xt60-kontakt.html,Replacement used: 4S 7500mAh XT60 (Sweden source)
Power & Charging,SkyRC e680 Universal Charger,Optional,No,1,699,https://www.elefun.se/p/prod.aspx?v=44861,Built-in AC (100-240V) + DC input (11-18V); 80W max / 8A max; larger and heavier
Power & Charging,18650 Cell Charger for QX7/X9 Lite (XTAR VC8),Yes,Yes,1,466,https://www.amazon.se/dp/B082D65385,From Amazon short link; estimated SEK from Sweden listing
Camera,Logitech C615 USB webcam,Optional,No,1,199,https://www.netonnet.se/art/dator-surfplatta/datortillbehor/webbkamera/logitech-c615-hd/1015719.8921/,Companion-computer camera option
Radio Control (RC),FrSky Taranis Q X7 ACCESS (EU),Yes,Yes,1,1895,https://www.elefun.se/vara-48092/radioutrustning-sandare-frsky-taranis-q-x7-access-black-eu,Verify regional and firmware compatibility
Radio Control (RC),QX7/X9 Lite 18650 battery set (2 cells),Yes,Yes,1,216.46,https://www.engelmt.de/mtbatteries/single-cells/taranis-qx7-x9-lite-batteries-inr18650-30q-button-top,Listed at 19.95 EUR; converted to SEK at ~10.85 EUR/SEK (Apr 2026)
Radio Control (RC),FrSky X8R receiver (SBUS),Yes,Yes,1,599,https://www.elefun.se/vara-33758/radioutrustning-mottagare-frsky-x8r,Vehicle-side RC receiver
Companion Computer,Raspberry Pi 4,Yes,Yes,1,1199,https://www.electrokit.com/raspberry-pi-5-4gb,Onboard compute; linked option is Raspberry Pi 5 4GB
Companion Computer,USB flash drive >= 16GB (example 32GB),Yes,Yes,1,129,https://www.netonnet.se/art/dator-surfplatta/datortillbehor/lagring/usb-minne/sandisk-ultra-fit-32gb-usb-3-1/1002879.8917/,Logging and storage
Miscellaneous,Beyond Robotix Kahuna (WiFi <-> MAVLink),Optional,No,1,414,https://www.beyondrobotix.com/products/kahuna,Checkout-confirmed at 414.00 SEK including shipping (user-provided)
Ground Station & Software,QGroundControl,Yes,Yes,1,0,https://qgroundcontrol.com/,Ground control software
Ground Station & Software,Holybro S500 parameter files,Yes,Yes,1,0,https://github.com/ArduPilot/ardupilot/blob/master/Tools/Frame_params/Holybro-S500.param,Load via QGroundControl
